"","cntry","Global_Cybersecurity_Index","National_Cyber_Security_Index","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","Mobile cellular subscriptions","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Secure Internet servers","Secure Internet servers (per 1 million people)","Firms that spend on R&D (% of firms)","Scientific and technical journal articles","GDP (current US$)","GDP per capita (current US$)","Government expenditure on education, total (% of GDP)","General government final consumption expenditure (% of GDP)","Military expenditure (% of GDP)","Research and development expenditure (% of GDP)","HDI_2021"
"1",8,64.32,62.34,-7.12210351926939,-7.84614920467033,-12.1571994254943,-4.79733484373681,-7.98262263396385,11.3939883914128,-2.06005116958018,4.03437505046472,-1.57006914162844,-1.3323235721684,7.55061271898774,-4.10245602872666,1.28896103520776,-4.58024696315357,1.49457890600483,-2.01406221167402,0.149009029403357,-3.71814929380756,1.88667651291707,-6.8932085407217,0.565773786158602,2635466,92.31992041,79.32371752,2511,884.825091116546,2.4,180.36,18255787479.1846,6492.87201224634,3.09999990463257,11.758142995696,1.4156359265316,1.99564787082924,0.796
"2",31,89.31,59.74,1.08057267675679,-13.5774241325155,10.5075584175752,7.94676626553674,0.891837176368857,2.21172211524556,2.00093472473242,-1.21362268640603,-3.93979409710363,-6.15424133027964,-2.62848896565387,-6.13082481297711,-0.942907408043822,-2.04093442294627,2.31245365255396,-0.689476899126034,2.12482886983382,4.40780419775875,-5.23562439287456,-1.73290031348794,2.10332204862519,10817071,104.8878056,84.59999573,3021,299.312769558593,11.1,761.43,54622176470.5882,5387.99797495383,4.33204984664917,13.4344270857452,5.27005900628497,0.22435000538826,0.745
"3",32,50.12,63.64,0.77916586709066,-2.78833858331055,1.01000296564213,-4.88846222292438,-1.47002232733998,-1.68186220407016,7.84771638775403,-1.60806369038616,3.10440337279868,-0.915040679066086,1.95196528213642,-0.106409353281464,-1.23871157581347,-0.558373779723044,4.03008234802506,-1.11633442355703,3.59601501468261,0.70276551252552,-2.22175324558413,0.589840281681429,-1.26793318513881,59065827,130.4550081,87.14829302,167248,3685.76312946783,22.6,8811.13,487227339102.67,10636.1201956183,5.01604986190796,15.8433870461202,0.565318000558816,0.457130014896393,0.842
"4",36,97.47,66.23,13.0888612815812,9.8746410984444,-7.15301007236303,1.15269366521344,-0.019961981735706,-2.06229868424131,-4.65012752190348,-1.52549782203586,1.00932387965914,0.39291216976265,3.05683848570333,0.324840051020511,1.53585890535616,1.34393526262001,2.32087710183395,2.39807371503822,-0.247524531175168,1.10005131847629,-2.92706431785517,-3.93993026553407,-2.78316712337339,27090000,104.509498,89.6,1022449,39853.341741736,12.1538461538462,53610.22,1552667363236.06,60443.1091649968,6.09999990463257,22.3019497514683,1.97842253315993,1.82928001880646,0.951
"5",40,93.89,68.83,15.2966829380245,-1.69708277918518,-6.05199144988222,4.24805031884694,-2.59788143235666,0.406019163265766,1.01404680553457,2.17161029559918,-2.06728456883622,-0.535172572069682,-2.55311675888912,1.18466185344153,-0.602356636737463,-0.756246918227674,-3.87705077392152,-0.567066972886297,0.700559258369741,-2.64835110244354,-1.16553140231884,0.541577847807744,0.325360320769944,10882217,121.9694798,92.52915104,301414,33802.6911703487,25.1,12362.28,480368403893.364,53637.7057109897,5.07000017166138,21.6901584338563,0.802121671447654,3.20128011703491,0.916
"6",50,81.27,67.53,-11.0337663990433,-3.35043398721669,3.29817043248169,15.9326814171024,-1.12763498324815,0.729376055025378,9.7792970490341,7.26335294181151,3.14581257241501,-9.49880262762547,0.336401287602973,6.8829157203847,4.76531664091796,-6.98180269033189,2.01173317356711,0.547600524834173,6.53421117039383,-3.46849949363086,-1.39974071966167,-4.88922403438922,-3.89559660035236,181021227,106.8878332,24.8,23085,137.88596864439,15.6857142857143,3135.08,416264942893.326,2457.92487986361,2.11938500404358,5.88274868783073,1.26977671903006,0.533662222401424,0.661
"7",51,50.47,35.06,-8.02449518276401,-5.76250651256582,0.585406307198302,-2.32929276822169,-4.44692456268248,2.27489387704148,-3.74920658517832,0.418887899468555,-3.03018075195131,-1.19863613648958,2.16883316441047,-1.55763320644074,-0.490716715191947,-0.25487822448944,4.4818409540169,-0.386325690775096,-3.86931223245979,2.15320603661033,-0.378388289904668,0.0917759620737403,1.33243210128372,3599278,128.961359,76.50770055,1741,620.542855594937,11.2,521.33,13861409968.835,4966.51347122366,2.77138996124268,15.793103571729,4.44012109130006,0.209209993481636,0.759
"8",68,16.14,31.17,-10.329235831051,4.38122300013936,-3.02238975716591,-8.23632988752674,3.23916612426947,-1.94521786586176,10.9159363915598,-8.33982169083613,1.30422432588377,-2.53641087635119,-2.44986619579826,1.59467095279646,-2.26733914952251,-0.756988970440647,2.45183452746066,-1.98992660220613,-2.47352507197681,1.55102347407519,1.7248087768222,-1.18009203548361,-1.62250899726464,12033941,99.62307127,59.94010155,2452,205.426166300357,15.8,102.8,40408208528.1599,3345.19658873831,9.8374547958374,19.3359811453494,1.54445834157747,0.533662222401424,0.692
"9",70,29.44,28.57,-4.14313906304538,-4.41768104759718,-6.09990576489741,-7.19605037118404,-6.33823765451788,4.0721250517495,-2.67325358765355,5.99461662579669,-1.98701119404566,-0.126025627997632,3.58971819234016,0.574280913739788,0.169001018952855,-3.08076378356752,0.889872624417047,-1.23968936329145,0.592319255293382,-0.334718804411176,-1.66121352889742,0.722477284659186,1.21139220439997,3728775,113.9969422,75.67620138,10382,3128.60960093201,14.2,703.79,23365361635.2201,7143.3105484321,4.13413000106812,19.5038859421711,0.894938348065987,0.206139996647835,0.78
"10",76,96.6,51.95,-6.50482703684643,-12.7747732681889,-6.79776760761788,-7.15644938207265,12.3346180753789,3.60645378185714,-0.541437323000279,-4.44825353889156,4.70457481782491,5.21887635516196,6.83219904926829,3.39898615520527,0.210135057414803,-1.51527555320332,6.16998898140894,4.26541229244806,3.0474712885515,3.84462320152829,1.42505828989981,4.7895574076294,-0.444130434718169,219660524,102.48887,81.34269353,656211,3077.96611708616,17.9692307692308,60147.96,1608981456325.08,7507.16097080234,5.96346998214722,19.0956120865747,1.19080984797947,1.20802998542786,0.754
